"1,000kg"	数値表現-寸法表現-重量
上海協力機構	名前-組織名-国際組織名
上海紅鯨団がいく	名前-製品名-芸術名-番組名
上滝線	名前-施設名-路線名-電車路線名
上田万年	名前-人名
上田利治	名前-人名
上田敏也	名前-人名
上田正樹	名前-人名
上田耕一郎	名前-人名
上田誠也	名前-人名
上町線	名前-施設名-路線名-電車路線名
上町駅	名前-施設名-GOE-駅名-電車駅名
上砂川町	名前-地名-GPE-市区町村名
上磯町	名前-地名-GPE-市区町村名
上総国	名前-地名-GPE-GPE_その他
上腕二頭筋	名前-自然物名-生物名-動物部位名
上腕骨	名前-自然物名-生物名-動物部位名
上越	名前-地名-国内地域名
上越地方	名前-地名-国内地域名
上越市	名前-地名-GPE-市区町村名
上道駅	名前-施設名-GOE-駅名-電車駅名
上道駅 (岡山県)	名前-施設名-GOE-駅名-電車駅名
上野	名前-人名
上野千鶴子	名前-人名
上野国	名前-地名-GPE-GPE_その他
上野村	名前-地名-GPE-市区町村名
上野村 (沖縄県)	名前-地名-GPE-市区町村名
上野樹里	名前-人名
上野駅	名前-施設名-GOE-駅名-電車駅名
上閉伊郡	名前-地名-GPE-群名
下京区	名前-地名-GPE-市区町村名
下切	名前-施設名-GOE-駅名-電車駅名
下切駅	名前-施設名-GOE-駅名-電車駅名
下北交通	名前-組織名-企業名
下北信用金庫	名前-組織名-企業名
下北半島	名前-地名-地形名-陸上地形名
下北沢	名前-施設名-GOE-駅名-電車駅名
下北沢駅	名前-施設名-GOE-駅名-電車駅名
下北郡	名前-地名-GPE-群名
下呂市	名前-地名-GPE-市区町村名
下呂温泉	名前-地名-地形名-河川湖沼名
下呂町	名前-地名-GPE-市区町村名
下地町	名前-地名-GPE-市区町村名
下垂体	名前-自然物名-生物名-動物部位名
下士官	名前-称号名-地位名
下川直哉	名前-人名
下平正一	名前-人名
下村宏	名前-人名
下村観山	名前-人名
下条進一郎	名前-人名
下松市	名前-地名-GPE-市区町村名
下森定	名前-人名
下河辺三史	名前-人名
下河辺俊行	名前-人名
下河辺孫一	名前-人名
下河辺建二	名前-人名
下田崇	名前-人名
下益城郡	名前-地名-GPE-群名
下神明駅	名前-施設名-GOE-駅名-電車駅名
下総国	名前-地名-GPE-GPE_その他
下諏訪町	名前-地名-GPE-市区町村名
下都賀郡	名前-地名-GPE-群名
下野新聞	名前-製品名-出版物名-新聞名
下野紘	名前-人名
下関駅	名前-施設名-GOE-駅名-電車駅名
下風呂温泉	名前-地名-地形名-河川湖沼名
不動前駅	名前-施設名-GOE-駅名-電車駅名
不動前駅 (東京都)	名前-施設名-GOE-駅名-電車駅名
不安障害	名前-病気名
不定根	名前-自然物名-生物名-植物部位名
不思議の国のアリス	名前-製品名-芸術名-文学名
不戦条約	名前-製品名-規則名
不知火号	名前-製品名-乗り物名-車名
不破内親王	名前-人名
不破哲三	名前-人名
不良番長	名前-製品名-芸術名-映画名
与謝野馨	名前-人名
与那国町	名前-地名-GPE-市区町村名
世にも奇妙な物語	名前-製品名-芸術名-番組名
世田谷区	名前-地名-GPE-市区町村名
世界!超マネー研究所	名前-製品名-芸術名-番組名
世界の温泉地一覧	名前-地名-地形名-河川湖沼名
世界ウルルン滞在記	名前-製品名-芸術名-番組名
世界ファンタジー大会	名前-イベント名-催し物名-大会名
世界一	数値表現-順位表現
世界一受けたい授業	名前-製品名-芸術名-番組名
世界中の誰よりきっと	名前-製品名-芸術名-音楽名
世界基督教統一神霊協会	名前-製品名-宗教名
世界柔道選手権	名前-イベント名-催し物名-大会名
世界遊戯法大全	名前-製品名-芸術名-文学名
世界遺産	名前-製品名-芸術名-番組名
丞相	名前-称号名-地位名
両向橋	名前-施設名-路線名-橋名
両税法	名前-製品名-方式制度名
並木橋通りアオバ自転車店	名前-製品名-芸術名-文学名
中世	時間表現-時間-時代表現
中丸雄一	名前-人名
中之島町	名前-地名-GPE-市区町村名
中井庄五郎	名前-人名
中井正広のブラックバラエティ	名前-製品名-芸術名-番組名
中井組	名前-組織名-組織名_その他
中井雅之	名前-人名
中京テレビ	名前-組織名-企業名
中京テレビ放送	名前-組織名-企業名
中京区	名前-地名-GPE-市区町村名
中京大中京高	名前-施設名-GOE-学校名
中京大学附属中京高等学校	名前-施設名-GOE-学校名
中内功	名前-人名
中区	名前-地名-GPE-市区町村名
中区 (名古屋市)	名前-地名-GPE-市区町村名
中原れい	名前-人名
中原区	名前-地名-GPE-市区町村名
中原街道	名前-施設名-路線名-道路名
中国コミュニケーションネットワーク	名前-組織名-企業名
中国人民解放軍	名前-組織名-軍隊名
中国勝山駅	名前-施設名-GOE-駅名-電車駅名
中国南方航空	名前-組織名-企業名
中国同盟会	名前-組織名-政党名
中国吹田IC	名前-地名-地名_その他
中国吹田インターチェンジ	名前-地名-地名_その他
中国国際航空	名前-組織名-企業名
中国放送	名前-組織名-企業名
中国東方航空	名前-組織名-企業名
中国池田IC	名前-地名-地名_その他
中国池田インターチェンジ	名前-地名-地名_その他
中国海軍	名前-組織名-軍隊名
中国社会人リーグ	名前-組織名-競技グループ名
中国茶	名前-製品名-食べ物名
中国豊中インターチェンジ	名前-地名-地名_その他
中央ヨーロッパ	名前-地名-大陸地域名
中央・総武緩行線	名前-施設名-路線名-電車路線名
中央党	名前-組織名-政党名
中央党 (スオミ)	名前-組織名-政党名
中央公論新社	名前-組織名-企業名
中央公論社	名前-組織名-企業名
中央区	名前-地名-GPE-市区町村名
中央区 (大阪市)	名前-地名-GPE-市区町村名
中央区 (東京都)	名前-地名-GPE-市区町村名
中央区 (福岡市)	名前-地名-GPE-市区町村名
中央林間	名前-施設名-GOE-駅名-電車駅名
中央林間駅	名前-施設名-GOE-駅名-電車駅名
中央省庁	名前-組織名-政府組織名
中央省庁再編	名前-イベント名-イベント名_その他
中央銀行	名前-組織名-企業名
中央集権制度	名前-製品名-方式制度名
中学部	名前-組織名-組織名_その他
中宗	名前-人名
中宗 (唐)	名前-人名
中宗 (朝鮮王)	名前-人名
中富良野町	名前-地名-GPE-市区町村名
中尊寺ゆつこ	名前-人名
中尾隆聖	名前-人名
中山エミリ	名前-人名
中山マサ	名前-人名
中山仁	名前-人名
中山大三郎	名前-人名
中山家	名前-組織名-組織名_その他
中山市	名前-地名-GPE-市区町村名
中山平温泉	名前-地名-地形名-河川湖沼名
中山忍	名前-人名
中山競馬場	名前-施設名-スポーツ施設名
中山素平	名前-人名
中山美穂	名前-人名
中山道	名前-施設名-路線名-道路名
中山道	名前-製品名-芸術名-番組名
中山道 (テレビ番組)	名前-製品名-芸術名-番組名
中岡慎太郎	名前-人名
中島みゆき	名前-人名
中島常幸	名前-人名
中島義道	名前-人名
中島董商店	名前-組織名-企業名
中島裕翔	名前-人名
中島隆博	名前-人名
中嶋寛	名前-人名
中川善之助	名前-人名
中川家	名前-組織名-組織名_その他
中川廣	名前-人名
中川忠英	名前-人名
中川昭一	名前-人名
中川清秀	名前-人名
中川翔子	名前-人名
中庄駅	名前-施設名-GOE-駅名-電車駅名
中延学園高等学校	名前-施設名-GOE-学校名
中延駅	名前-施設名-GOE-駅名-電車駅名
中斜角筋	名前-自然物名-生物名-動物部位名
中日本高速道路	名前-組織名-企業名
中書島駅	名前-施設名-GOE-駅名-電車駅名
中曽根康弘	名前-人名
中杉通り	名前-施設名-路線名-道路名
中村俊洋	名前-人名
中村光一	名前-人名
中村区	名前-地名-GPE-市区町村名
中村哲也	名前-人名
中村彩花	名前-人名
中村彰男	名前-人名
中村昭治	名前-人名
中村梅吉	名前-人名
中村正人	名前-人名
中村正雄	名前-人名
中村泉	名前-人名
中村稔	名前-人名
中村紘子	名前-人名
中村郁	名前-人名
中村鋭一	名前-人名
中村雀右衛門	名前-人名
中村雀右衛門 (2代目)	名前-人名
中村雀右衛門 (3代目)	名前-人名
中村雀右衛門 (4代目)	名前-人名
中村雀右衛門 (初代)	名前-人名
中村雅俊	名前-人名
中条静夫	名前-人名
中森明菜	名前-人名
中橋徳五郎	名前-人名
中津市	名前-地名-GPE-市区町村名
中澤久長	名前-人名
中澤清	名前-人名
中田喜直	名前-人名
中田英寿	名前-人名
中田譲治	名前-人名
中畑佐知子	名前-人名
中種子町	名前-地名-GPE-市区町村名
中華そば	名前-製品名-食べ物名
中華思想	名前-製品名-主義思想名
中西一清スタミナラジオ	名前-製品名-芸術名-番組名
中西圭三	名前-人名
中西太	名前-人名
中西寛	名前-人名
中谷花子	名前-人名
中越典子	名前-人名
中距離弾道ミサイル	名前-製品名-武器名
中郡 (京都府)	名前-地名-GPE-群名
中部国際空港駅	名前-施設名-GOE-駅名-電車駅名
中部横断自動車道	名前-施設名-路線名-道路名
中部経済新聞	名前-製品名-出版物名-新聞名
中部銀行	名前-組織名-企業名
中野バイパス	名前-施設名-路線名-道路名
中野会	名前-組織名-組織名_その他
中野区	名前-地名-GPE-市区町村名
中野宇楽	名前-人名
中野実業高校	名前-施設名-GOE-学校名
中頭郡	名前-地名-GPE-群名
中高一貫教育	名前-製品名-方式制度名
中高一貫校	名前-施設名-GOE-学校名
中魚沼郡	名前-地名-GPE-群名
串川橋	名前-施設名-路線名-橋名
串本町	名前-地名-GPE-市区町村名
串本駅	名前-施設名-GOE-駅名-電車駅名
串田嘉男	名前-人名
丸亀駅	名前-施設名-GOE-駅名-電車駅名
丸出だめ夫	名前-人名
丸出だめ夫	名前-製品名-芸術名-文学名
丸尾駅	名前-施設名-GOE-駅名-電車駅名
丸山和也	名前-人名
丸山忠久	名前-人名
丸広百貨店	名前-組織名-企業名
丸広百貨店上尾店	名前-施設名-GOE-GOE_その他
丸広百貨店入間店	名前-施設名-GOE-GOE_その他
丸広百貨店南浦和店	名前-施設名-GOE-GOE_その他
丸広百貨店坂戸店	名前-施設名-GOE-GOE_その他
丸広百貨店川越店	名前-施設名-GOE-GOE_その他
丸広百貨店東松山店	名前-施設名-GOE-GOE_その他
丸広百貨店東飯能店	名前-施設名-GOE-GOE_その他
丸広百貨店飯能店	名前-施設名-GOE-GOE_その他
丸木政臣	名前-人名
丹治部駅	名前-施設名-GOE-駅名-電車駅名
丹波	名前-地名-GPE-GPE_その他
丹波国	名前-地名-GPE-GPE_その他
丹波市	名前-地名-GPE-市区町村名
丹波町	名前-地名-GPE-市区町村名
丹羽長秀	名前-人名
丹羽隆昭	名前-人名
丹羽雄哉	名前-人名
丹阿弥谷津子	名前-人名
主体思想	名前-製品名-主義思想名
主教	名前-称号名-地位名
主教冠	名前-製品名-衣服名
主要地方道	名前-施設名-路線名-道路名
乃木希典	名前-人名
久々原駅	名前-施設名-GOE-駅名-電車駅名
久世広民	名前-人名
久世郡	名前-地名-GPE-群名
久世駅	名前-施設名-GOE-駅名-電車駅名
久保田優輔	名前-人名
久保田利伸	名前-人名
久保田哲史	名前-人名
久保田町	名前-地名-GPE-市区町村名
久保田直子	名前-人名
久信	名前-人名
久光製薬スプリングス	名前-組織名-組織名_その他
久喜駅	名前-施設名-GOE-駅名-電車駅名
久夛良木健	名前-人名
久居市	名前-地名-GPE-市区町村名
久川綾	名前-人名
久慈郡	名前-地名-GPE-群名
久我陽子	名前-人名
久本雅美	名前-人名
久村栄子	名前-人名
久津八幡宮	名前-施設名-GOE-神社寺名
久留米大学附設中学校・高等学校	名前-施設名-GOE-学校名
久留米大学附設高等学校	名前-施設名-GOE-学校名
久留米局	名前-地名-GPE-市区町村名
久留米市	名前-地名-GPE-市区町村名
久留米駅	名前-施設名-GOE-駅名-電車駅名
久石譲	名前-人名
久米大作	名前-人名
久米島町	名前-地名-GPE-市区町村名
久米島町営仲里総合運動公園野球場	名前-施設名-スポーツ施設名
久織ちまき	名前-人名
久遠の絆	名前-製品名-製品名_その他
久野誠	名前-人名
乙葉	名前-人名
乙訓郡	名前-地名-GPE-群名
九六式艦上戦闘機	名前-製品名-乗り物名-飛行機名
九州三菱自動車硬式野球部	名前-組織名-競技グループ名
九州国際エフエム	名前-組織名-企業名
九州工大	名前-施設名-GOE-学校名
九州工業大学	名前-施設名-GOE-学校名
九州征伐	名前-イベント名-イベント名_その他
九州新幹線	名前-製品名-乗り物名-列車名
九州朝日放送	名前-組織名-企業名
九州横断特急	名前-製品名-乗り物名-列車名
九州産業交通	名前-組織名-企業名
九州石油	名前-組織名-企業名
九条家	名前-組織名-組織名_その他
九段下駅	名前-施設名-GOE-駅名-電車駅名
九谷焼	名前-製品名-製品名_その他
乳房	名前-自然物名-生物名-動物部位名
乾隆帝	名前-人名
亀の井バス	名前-組織名-企業名
亀井絵里	名前-人名
亀山IC	名前-地名-地名_その他
亀山PA	名前-施設名-GOE-駅名-停車所名
亀岡駅	名前-施設名-GOE-駅名-電車駅名
亀梨和也	名前-人名
亀田和久	名前-人名
亀田誠治	名前-人名
亀甲獣骨文字	名前-製品名-方式制度名
亀甲駅	名前-施設名-GOE-駅名-電車駅名
亀頭	名前-自然物名-生物名-動物部位名
予備自衛官	名前-称号名-地位名
事大主義	名前-製品名-主義思想名
二つの祖国	名前-製品名-芸術名-文学名
二ヶ領用水	名前-施設名-施設名_その他
二丈町	名前-地名-GPE-市区町村名
二上達也	名前-人名
二中歴	名前-製品名-芸術名-文学名
二十二史箚記	名前-製品名-芸術名-文学名
二十六聖人の殉教	名前-イベント名-イベント名_その他
二十四軒駅	名前-施設名-GOE-駅名-電車駅名
二子玉川駅	名前-施設名-GOE-駅名-電車駅名
二宮文造	名前-人名
二宮正博	名前-人名
二宮町	名前-地名-GPE-市区町村名
二宮町 (栃木県)	名前-地名-GPE-市区町村名
二川駅	名前-施設名-GOE-駅名-電車駅名
二戸郡	名前-地名-GPE-群名
二戸駅	名前-施設名-GOE-駅名-電車駅名
二日市駅	名前-施設名-GOE-駅名-電車駅名
二条駅	名前-施設名-GOE-駅名-電車駅名
二次性糖尿病	名前-病気名
二瓶正也	名前-人名
二紀展	名前-イベント名-催し物名-催し物名_その他
二葉亭四迷	名前-人名
二見太郎	名前-人名
二谷英明	名前-人名
二輪レーサー	名前-職業名
二郎真君	名前-神名
二重影	名前-製品名-製品名_その他
二間瀬敏史	名前-人名
二院制	名前-製品名-方式制度名
二階堂進	名前-人名
二階堂高嗣	名前-人名
于山国	名前-地名-GPE-GPE_その他
于山島	名前-地名-地形名-陸上地形名
五代	数値表現-個数-組織数
五代十国時代	時間表現-時間-時代表現
五十嵐こずえ	名前-人名
五十嵐亮太	名前-人名
五十嵐冬樹	名前-人名
五十畑迅人	名前-人名
五反田駅	名前-施設名-GOE-駅名-電車駅名
五坪流	名前-組織名-組織名_その他
五大老	数値表現-個数-人数
五奉行	数値表現-個数-人数
五島昇	名前-人名
五嶋龍	名前-人名
五所川原市	名前-地名-GPE-市区町村名
五稜郭	名前-施設名-記念碑名
五稜郭駅	名前-施設名-GOE-駅名-電車駅名
五色町	名前-地名-GPE-市区町村名
五行山	名前-地名-地形名-陸上地形名
五賢帝	数値表現-個数-人数
五重奏曲	名前-製品名-芸術名-音楽名
井ノ内貴之	名前-人名
井ノ原快彦	名前-人名
井上俊	名前-人名
井上内親王	名前-人名
井上和香	名前-人名
井上大助	名前-人名
井上大輔	名前-人名
井上小百合	名前-人名
井上干城	名前-人名
井上成美	名前-人名
井上昌己	名前-人名
井上正彦	名前-人名
井上清直	名前-人名
井上真樹夫	名前-人名
井上道義	名前-人名
井上達夫	名前-人名
井上鑑	名前-人名
井上陽水	名前-人名
井上靖	名前-人名
井上馨	名前-人名
井伊直弼	名前-人名
井伏鱒二	名前-人名
井倉駅	名前-施設名-GOE-駅名-電車駅名
井出千草	名前-人名
井出正一	名前-人名
井原線	名前-施設名-路線名-電車路線名
井原裕士	名前-人名
井原鉄道	名前-組織名-企業名
井原陽介	名前-人名
井口資仁	名前-人名
井川慶	名前-人名
井川町	名前-地名-GPE-市区町村名
井川町 (徳島県)	名前-地名-GPE-市区町村名
井深大	名前-人名
井野碩哉	名前-人名
亘理城	名前-施設名-記念碑名
亘理町	名前-地名-GPE-市区町村名
亜波根綾乃	名前-人名
亡命政府	名前-組織名-政府組織名
交野家	名前-組織名-組織名_その他
交野市	名前-地名-GPE-市区町村名
交野時貞	名前-人名
交響曲	名前-製品名-芸術名-音楽名
交響曲第10番 (ベートーヴェン)	名前-製品名-芸術名-音楽名
交響曲第1番	名前-製品名-芸術名-音楽名
交響曲第1番 (ブラームス)	名前-製品名-芸術名-音楽名
交響曲第1番 (ベートーヴェン)	名前-製品名-芸術名-音楽名
交響曲第2番	名前-製品名-芸術名-音楽名
交響曲第2番 (ブラームス)	名前-製品名-芸術名-音楽名
交響曲第3番	名前-製品名-芸術名-音楽名
交響曲第3番 (ブラームス)	名前-製品名-芸術名-音楽名
交響曲第3番「スコットランド」	名前-製品名-芸術名-音楽名
交響曲第4番	名前-製品名-芸術名-音楽名
交響曲第4番 (ブラームス)	名前-製品名-芸術名-音楽名
交響曲第5番 (ショスタコーヴィチ)	名前-製品名-芸術名-音楽名
交響曲第5番 (ベートーヴェン)	名前-製品名-芸術名-音楽名
交響曲第5番「運命」	名前-製品名-芸術名-音楽名
交響曲第5番ニ短調	名前-製品名-芸術名-音楽名
交響曲第6番 (ショスタコーヴィチ)	名前-製品名-芸術名-音楽名
交響曲第6番 (ベートーヴェン)	名前-製品名-芸術名-音楽名
交響曲第6番 (マーラー)	名前-製品名-芸術名-音楽名
交響曲第6番「悲劇的」	名前-製品名-芸術名-音楽名
交響曲第6番「田園」	名前-製品名-芸術名-音楽名
交響曲第9番	名前-製品名-芸術名-音楽名
交響曲第9番 (ベートーヴェン)	名前-製品名-芸術名-音楽名
交響組曲	名前-製品名-芸術名-音楽名
交響詩篇エウレカセブン	名前-製品名-芸術名-番組名
京丹後市	名前-地名-GPE-市区町村名
京丹波町	名前-地名-GPE-市区町村名
京友禅	名前-製品名-製品名_その他
京学派	名前-組織名-組織名_その他
京急本線	名前-施設名-路線名-電車路線名
京急蒲田	名前-施設名-GOE-駅名-電車駅名
京急蒲田駅	名前-施設名-GOE-駅名-電車駅名
京極氏	名前-組織名-組織名_その他
京極高詮	名前-人名
京浜急行バス	名前-組織名-企業名
京王8000系電車	名前-製品名-乗り物名-列車名
京王バス東	名前-組織名-企業名
京王八王子駅	名前-施設名-GOE-駅名-電車駅名
京王杯スプリングカップ	名前-イベント名-催し物名-大会名
京王線	名前-施設名-路線名-電車路線名
京王電鉄バス	名前-組織名-企業名
京田知己	名前-人名
京福電気鉄道嵐山本線	名前-施設名-路線名-電車路線名
京華社	名前-組織名-企業名
京葉臨海鉄道	名前-組織名-企業名
京都	名前-地名-GPE-市区町村名
京都ニュース845	名前-製品名-芸術名-番組名
京都交通	名前-組織名-企業名
京都交通 (福知山)	名前-組織名-企業名
京都外環状線	名前-施設名-路線名-道路名
京都大学経済研究所	名前-施設名-GOE-GOE_その他
京都市	名前-地名-GPE-市区町村名
京都市営地下鉄烏丸線	名前-施設名-路線名-電車路線名
京都市西京極球場	名前-施設名-スポーツ施設名
京都市西京極総合運動公園野球場	名前-施設名-スポーツ施設名
京都市道188号観月橋横大路線	名前-施設名-路線名-道路名
京都府道115号伏見港京都停車場線	名前-施設名-路線名-道路名
京都府道124号三栖向納所線	名前-施設名-路線名-道路名
京都府道125号淀停車場線	名前-施設名-路線名-道路名
京都府道13号京都守口線	名前-施設名-路線名-道路名
京都府道204号奥海印寺納所線	名前-施設名-路線名-道路名
京都府道25号亀岡園部線	名前-施設名-路線名-道路名
京都府道405号郷ノ口余部線	名前-施設名-路線名-道路名
京都府道452号長谷八木線	名前-施設名-路線名-道路名
京都府道73号宮前千歳線	名前-施設名-路線名-道路名
京都府道・兵庫県道2号宮津養父線	名前-施設名-路線名-道路名
京都府道・大阪府道13号京都守口線	名前-施設名-路線名-道路名
京都放送	名前-組織名-企業名
京都本線	名前-施設名-路線名-電車路線名
京都競馬場	名前-施設名-スポーツ施設名
京都縦貫自動車道	名前-施設名-路線名-道路名
京都駅	名前-施設名-GOE-駅名-電車駅名
京釜線	名前-施設名-路線名-電車路線名
京阪バス	名前-組織名-企業名
京阪宇治線	名前-施設名-路線名-電車路線名
京阪本線	名前-施設名-路線名-電車路線名
京阪百貨店	名前-組織名-企業名
京阪電気鉄道京阪本線	名前-施設名-路線名-電車路線名
亮	名前-人名
人	名前-自然物名-生物名-動物名-脊椎動物-哺乳類
人取橋の戦い	名前-イベント名-戦争名
人名一覧 す	名前-人名
人見元基	名前-人名
人見街道	名前-施設名-路線名-道路名
人間	名前-自然物名-生物名-動物名-脊椎動物-哺乳類
人間の証明	名前-製品名-芸術名-文学名
人間・失格	名前-製品名-芸術名-番組名
人間・失格〜たとえばぼくが死んだら	名前-製品名-芸術名-番組名
人間国宝	名前-称号名-地位名
仁田峠公人	名前-人名
仁科時成	名前-人名
仁科芳雄	名前-人名
仁義なき戦い	名前-製品名-芸術名-文学名
今、きらめいて	名前-製品名-芸術名-番組名
今上天皇	名前-称号名-地位名
今井勇	名前-人名
今井宏	名前-人名
今川氏	名前-組織名-組織名_その他
今川泰宏	名前-人名
今市市	名前-地名-GPE-市区町村名
今日からマ王!	名前-製品名-芸術名-番組名
今日から俺は!!	名前-製品名-芸術名-文学名
今昔物語集	名前-製品名-芸術名-文学名
今木商事	名前-人名
今沢哲男	名前-人名
今治城	名前-施設名-記念碑名
今治市	名前-地名-GPE-市区町村名
今羽駅	名前-施設名-GOE-駅名-電車駅名
今西隆志	名前-人名
今野和浩	名前-人名
今野敏	名前-人名
仏ゾーン	名前-製品名-芸術名-文学名
仏領インドシナ	名前-地名-GPE-GPE_その他
仙人峠道路	名前-施設名-路線名-道路名
仙北郡	名前-地名-GPE-群名
仙台北部道路	名前-施設名-路線名-道路名
仙台南IC	名前-施設名-施設名_その他
仙台南インターチェンジ	名前-施設名-施設名_その他
仙台南部道路	名前-施設名-路線名-道路名
仙台市	名前-地名-GPE-市区町村名
仙台放送	名前-組織名-企業名
仙台東部道路	名前-施設名-路線名-道路名
仙台空港IC	名前-施設名-施設名_その他
仙台空港インターチェンジ	名前-施設名-施設名_その他
仙台空港線	名前-施設名-路線名-電車路線名
仙台臨海鉄道	名前-組織名-企業名
仙台臨海鉄道臨海本線	名前-施設名-路線名-電車路線名
仙台藩	名前-地名-GPE-GPE_その他
仙台駅	名前-施設名-GOE-駅名-電車駅名
仙界伝封神演義	名前-製品名-芸術名-文学名
代々木ゼミナールの人物一覧	名前-人名
代官	名前-称号名-地位名
代数学賞	名前-製品名-賞名
代理	名前-称号名-地位名
代謝学	名前-製品名-学問名
以仁王	名前-人名
以心流	名前-組織名-組織名_その他
仮名	名前-製品名-方式制度名
仮想戦記	名前-製品名-芸術名-文学名
仮谷清志さん拉致監禁事件	名前-イベント名-事故事件名
仮面ライダー555	名前-製品名-芸術名-映画名
仮面ライダー555	名前-製品名-芸術名-番組名
仮面ライダーBLACK RX	名前-製品名-芸術名-番組名
仮面ライダーアギト	名前-製品名-芸術名-映画名
仮面ライダーアギト	名前-製品名-芸術名-番組名
仮面ライダーシリーズ	名前-製品名-出版物名-出版物名_その他
仮面ライダーシリーズ	名前-製品名-芸術名-番組名
仮面ライダー剣	名前-製品名-芸術名-映画名
仮面ライダー剣	名前-製品名-芸術名-番組名
仮面ライダー響鬼	名前-製品名-芸術名-映画名
仮面ライダー響鬼	名前-製品名-芸術名-番組名
仮面ライダー龍騎	名前-製品名-芸術名-映画名
仮面ライダー龍騎	名前-製品名-芸術名-番組名
仮面舞踏会 (小説)	名前-製品名-芸術名-文学名
仰げば尊し	名前-製品名-芸術名-音楽名
仰木彬	名前-人名
仲代達矢	名前-人名
仲多度郡	名前-地名-GPE-群名
仲木戸駅	名前-施設名-GOE-駅名-電車駅名
仲本浩喜	名前-人名
仲村トオル	名前-人名
仲村秀生	名前-人名
仲根かすみ	名前-人名
仲間由紀恵	名前-人名
企業一覧 (水産・農林)	名前-組織名-企業名
伊万里ケーブルテレビジョン	名前-組織名-企業名
伊万里市	名前-地名-GPE-市区町村名
伊万里焼	名前-製品名-製品名_その他
伊万里駅	名前-施設名-GOE-駅名-電車駅名
伊予	名前-地名-GPE-GPE_その他
伊予国	名前-地名-GPE-GPE_その他
伊予鉄道	名前-組織名-企業名
伊勢中原駅	名前-施設名-GOE-駅名-電車駅名
伊勢中川駅	名前-施設名-GOE-駅名-電車駅名
伊勢原	名前-施設名-GOE-駅名-電車駅名
伊勢原駅	名前-施設名-GOE-駅名-電車駅名
伊勢地方	名前-地名-国内地域名
伊勢崎藩	名前-地名-GPE-GPE_その他
伊勢川島駅	名前-施設名-GOE-駅名-電車駅名
伊勢市	名前-地名-GPE-市区町村名
伊勢松本駅	名前-施設名-GOE-駅名-電車駅名
伊勢湾フェリー	名前-組織名-企業名
伊勢神宮	名前-施設名-GOE-神社寺名
伊呂波丸事件	名前-イベント名-事故事件名
伊和都比売神社	名前-施設名-GOE-神社寺名
伊奈忠克	名前-人名
伊奈忠宥	名前-人名
伊奈忠尊	名前-人名
伊奈忠常	名前-人名
伊奈忠政	名前-人名
伊奈忠次	名前-人名
伊奈忠治	名前-人名
伊奈忠篤	名前-人名
伊奈忠辰	名前-人名
伊奈忠逵	名前-人名
伊奈忠順	名前-人名
伊奈氏	名前-人名
伊奈町	名前-地名-GPE-市区町村名
伊奈町 (茨城県)	名前-地名-GPE-市区町村名
伊奈線	名前-施設名-路線名-路線_その他
伊方町	名前-地名-GPE-市区町村名
伊東ゆかり	名前-人名
伊東スタジアム	名前-施設名-スポーツ施設名
伊東マンショ	名前-人名
伊東家の食卓	名前-製品名-芸術名-番組名
伊東市	名前-地名-GPE-市区町村名
伊東幸一郎	名前-人名
伊東正義	名前-人名
伊東流	名前-組織名-組織名_その他
伊東甲子太郎	名前-人名
伊沢麻未	名前-人名
伊王島町	名前-地名-GPE-市区町村名
伊能忠敬	名前-人名
伊良部町	名前-地名-GPE-市区町村名
伊良部秀輝	名前-人名
伊藤久朗	名前-人名
伊藤大八	名前-人名
伊藤太一	名前-人名
伊藤敦規	名前-人名
伊藤誠	名前-人名
伊藤静	名前-人名
伊豆	名前-地名-GPE-GPE_その他
伊豆国	名前-地名-GPE-GPE_その他
伊豆大島	名前-地名-地形名-陸上地形名
伊豆縦貫自動車道	名前-施設名-路線名-道路名
伊豫田静弘	名前-人名
伊賀	名前-地名-GPE-GPE_その他
伊賀上野駅	名前-施設名-GOE-駅名-電車駅名
伊賀国	名前-地名-GPE-GPE_その他
伊賀市	名前-地名-GPE-市区町村名
伊賀流	名前-組織名-組織名_その他
伊達市	名前-地名-GPE-市区町村名
伊達成実	名前-人名
伊達政宗	名前-人名
伊達日角	名前-人名
伊達歩	名前-人名
伊達氏	名前-人名
伊達邦成	名前-人名
伊那バス	名前-組織名-企業名
伊那谷	名前-地名-地形名-陸上地形名
伊部駅	名前-施設名-GOE-駅名-電車駅名
伊里駅	名前-施設名-GOE-駅名-電車駅名
伊野尾慧	名前-人名
伊集院光	名前-人名
伏見区	名前-地名-GPE-市区町村名
会津坂下町	名前-地名-GPE-市区町村名
会津藩	名前-地名-GPE-GPE_その他
伝教大師	名前-人名
伝説のオウガバトル	名前-製品名-製品名_その他
似鳥利行	名前-人名
但東町	名前-地名-GPE-市区町村名
但馬国	名前-地名-GPE-GPE_その他
低軌道	名前-製品名-乗り物名-宇宙船名
低軌道衛星	名前-製品名-乗り物名-宇宙船名
住友紀人	名前-人名
住吉区	名前-地名-GPE-市区町村名
住居表示	名前-製品名-方式制度名
住田都史子	名前-人名
佐々成政	名前-人名
佐々木るん	名前-人名
佐々木主浩	名前-人名
佐々木修	名前-人名
佐々木和彦	名前-人名
佐々木宗氏	名前-人名
佐々木氏	名前-組織名-組織名_その他
佐々木満信	名前-人名
佐々木良作	名前-人名
佐々木蔵之介	名前-人名
佐々木誠二	名前-人名
佐々木貞宗	名前-人名
佐々木道誉	名前-人名
